pr_auc,roc_auc,model,resampler,dataset
0.14713389524162124,0.7772642976788705,Elastic_L0_C10,No Resampling,mixed_realistic_w4_n15_d30.csv
0.038940055828796685,0.582845853858785,Elastic_L0_C10,Manual Upsampling,noisy_overlap_w2_n20_d0.csv
0.0389768460682351,0.5903376436781609,Elastic_L0_C10,SMOTE,noisy_overlap_w2_n20_d0.csv
0.03952263306054874,0.5902863300492611,Elastic_L0_C10,ADASYN,noisy_overlap_w2_n20_d0.csv
0.03374388377409884,0.5767651888341544,Elastic_L0_C10,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv
0.0389768460682351,0.5903376436781609,Elastic_L0_C10,SMOTETomek,noisy_overlap_w2_n20_d0.csv
0.03916642551880196,0.5914408866995075,Elastic_L0_C10,SMOTEENN,noisy_overlap_w2_n20_d0.csv
0.039211686146308766,0.5928263546798029,Elastic_L0_C10,Random Undersample,noisy_overlap_w2_n20_d0.csv
0.03902796218240222,0.5641163793103449,Elastic_L0_C10,Cluster Centroids,noisy_overlap_w2_n20_d0.csv
0.04026183529021869,0.5845648604269293,Elastic_L0_C10,No Resampling,noisy_overlap_w2_n20_d0.csv
